,agent,capacity,dst_region,index,installed,region,sector,technology,type,year
4,A1,295.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2030
9,A1,300.00000000000,R1,14,2020,R1,residential,heatpump,retrofit,2030
18,A1,295.00000000000,R2,0,2020,R2,residential,gasboiler,retrofit,2030
23,A1,300.00000000000,R2,14,2020,R2,residential,heatpump,retrofit,2030
32,A2,295.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2030
37,A2,300.00000000000,R1,14,2020,R1,residential,heatpump,retrofit,2030
46,A2,295.00000000000,R2,0,2020,R2,residential,gasboiler,retrofit,2030
51,A2,300.00000000000,R2,14,2020,R2,residential,heatpump,retrofit,2030
0,A1,2.50000000000,R1,0,2010,R1,power,gasCCGT,agent,2030
1,A1,2.50000000000,R2,8,2010,R2,power,gasCCGT,agent,2030
2,A2,2.50000000000,R1,0,2010,R1,power,gasCCGT,agent,2030
3,A2,2.50000000000,R2,8,2010,R2,power,gasCCGT,agent,2030
4,A2,48.75000000000,R1,16,2025,R2,power,solarPV,agent,2030
0,A1,292.50000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2030
6,A1,292.50000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2030
12,A2,292.50000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2030
18,A2,292.50000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2030
0,A1,300.00000000000,R1,0,2030,R1,residential,gasboiler,retrofit,2035
3,A1,300.00000000000,R1,5,2030,R1,residential,heatpump,retrofit,2035
6,A1,300.00000000000,R2,0,2030,R2,residential,gasboiler,retrofit,2035
9,A1,300.00000000000,R2,5,2030,R2,residential,heatpump,retrofit,2035
12,A2,300.00000000000,R1,0,2030,R1,residential,gasboiler,retrofit,2035
15,A2,300.00000000000,R1,5,2030,R1,residential,heatpump,retrofit,2035
18,A2,300.00000000000,R2,0,2030,R2,residential,gasboiler,retrofit,2035
21,A2,300.00000000000,R2,5,2030,R2,residential,heatpump,retrofit,2035
5,A2,48.75000000000,R1,0,2025,R2,power,solarPV,agent,2035
0,A1,285.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2035
5,A1,285.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2035
10,A2,285.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2035
15,A2,285.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2035
4,A1,300.00000000000,R1,0,2030,R1,residential,gasboiler,retrofit,2040
9,A1,300.00000000000,R1,12,2030,R1,residential,heatpump,retrofit,2040
18,A1,300.00000000000,R2,0,2030,R2,residential,gasboiler,retrofit,2040
23,A1,300.00000000000,R2,12,2030,R2,residential,heatpump,retrofit,2040
32,A2,300.00000000000,R1,0,2030,R1,residential,gasboiler,retrofit,2040
37,A2,300.00000000000,R1,12,2030,R1,residential,heatpump,retrofit,2040
46,A2,300.00000000000,R2,0,2030,R2,residential,gasboiler,retrofit,2040
51,A2,300.00000000000,R2,12,2030,R2,residential,heatpump,retrofit,2040
0,A1,84.00000000000,R2,16,2035,R1,power,windturbine,agent,2040
11,A2,48.75000000000,R1,0,2025,R2,power,solarPV,agent,2040
0,A1,285.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2040
4,A1,285.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2040
8,A2,285.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2040
12,A2,285.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2040
0,A1,300.00000000000,R1,0,2040,R1,residential,gasboiler,retrofit,2045
3,A1,300.00000000000,R1,4,2040,R1,residential,heatpump,retrofit,2045
6,A1,300.00000000000,R2,0,2040,R2,residential,gasboiler,retrofit,2045
9,A1,300.00000000000,R2,4,2040,R2,residential,heatpump,retrofit,2045
12,A2,300.00000000000,R1,0,2040,R1,residential,gasboiler,retrofit,2045
15,A2,300.00000000000,R1,4,2040,R1,residential,heatpump,retrofit,2045
18,A2,300.00000000000,R2,0,2040,R2,residential,gasboiler,retrofit,2045
21,A2,300.00000000000,R2,4,2040,R2,residential,heatpump,retrofit,2045
0,A1,84.00000000000,R2,18,2035,R1,power,windturbine,agent,2045
10,A1,47.25000000000,R1,0,2040,R2,power,windturbine,agent,2045
16,A2,48.75000000000,R1,0,2025,R2,power,solarPV,agent,2045
0,A1,285.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2045
3,A1,285.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2045
6,A2,285.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2045
9,A2,285.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2045
0,A1,300.00000000000,R1,0,2040,R1,residential,gasboiler,retrofit,2050
4,A1,300.00000000000,R1,10,2040,R1,residential,heatpump,retrofit,2050
8,A1,300.00000000000,R2,0,2040,R2,residential,gasboiler,retrofit,2050
12,A1,300.00000000000,R2,10,2040,R2,residential,heatpump,retrofit,2050
16,A2,300.00000000000,R1,0,2040,R1,residential,gasboiler,retrofit,2050
20,A2,300.00000000000,R1,10,2040,R1,residential,heatpump,retrofit,2050
24,A2,300.00000000000,R2,0,2040,R2,residential,gasboiler,retrofit,2050
28,A2,300.00000000000,R2,10,2040,R2,residential,heatpump,retrofit,2050
0,A1,84.00000000000,R2,16,2035,R1,power,windturbine,agent,2050
1,A1,24.00000000000,R2,17,2045,R1,power,windturbine,agent,2050
10,A1,47.25000000000,R1,0,2040,R2,power,windturbine,agent,2050
15,A2,48.75000000000,R1,0,2025,R2,power,solarPV,agent,2050
0,A1,285.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2050
3,A1,285.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2050
6,A2,285.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2050
9,A2,285.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2050
