agent,capacity,dst_region,index,installed,region,sector,technology,type,year
A1,1.15110000000,R1,57,2025,R1,power,windturbine,retrofit,2040
A1,1.41780000000,R1,58,2030,R1,power,windturbine,retrofit,2040
A1,1.81350000000,R1,59,2035,R1,power,windturbine,retrofit,2040
A1,3.27480000000,R1,0,2020,R1,gas,gassupply1,retrofit,2040
A1,0.27920000000,R1,1,2025,R1,gas,gassupply1,retrofit,2040
A1,10.48740000000,R1,2,2030,R1,gas,gassupply1,retrofit,2040
A1,0.91000000000,R1,0,2035,R1,residential,gasboiler,retrofit,2045
A1,16.09000000000,R1,7,2035,R1,residential,heatpump,retrofit,2045
A1,31.00000000000,R1,8,2040,R1,residential,heatpump,retrofit,2045
A1,0.25560000000,R1,0,2020,R1,power,gasCCGT,retrofit,2045
A1,0.39220000000,R1,1,2025,R1,power,gasCCGT,retrofit,2045
A1,0.26830000000,R1,2,2030,R1,power,gasCCGT,retrofit,2045
A1,0.20420000000,R1,3,2035,R1,power,gasCCGT,retrofit,2045
A1,0.13330000000,R1,4,2040,R1,power,gasCCGT,retrofit,2045
A1,0.84440000000,R1,75,2020,R1,power,windturbine,retrofit,2045
A1,1.15110000000,R1,76,2025,R1,power,windturbine,retrofit,2045
A1,1.41780000000,R1,77,2030,R1,power,windturbine,retrofit,2045
A1,1.81350000000,R1,78,2035,R1,power,windturbine,retrofit,2045
A1,1.94810000000,R1,79,2040,R1,power,windturbine,retrofit,2045
A1,3.27480000000,R1,0,2020,R1,gas,gassupply1,retrofit,2045
A1,0.27920000000,R1,1,2025,R1,gas,gassupply1,retrofit,2045
A1,10.48740000000,R1,2,2030,R1,gas,gassupply1,retrofit,2045
A1,0.69800000000,R1,3,2040,R1,gas,gassupply1,retrofit,2045
A1,31.00000000000,R1,0,2040,R1,residential,heatpump,retrofit,2050
A1,23.00000000000,R1,1,2045,R1,residential,heatpump,retrofit,2050
A1,0.25560000000,R1,0,2020,R1,power,gasCCGT,retrofit,2050
A1,0.39220000000,R1,1,2025,R1,power,gasCCGT,retrofit,2050
A1,0.26830000000,R1,2,2030,R1,power,gasCCGT,retrofit,2050
A1,0.20420000000,R1,3,2035,R1,power,gasCCGT,retrofit,2050
A1,0.13330000000,R1,4,2040,R1,power,gasCCGT,retrofit,2050
A1,0.15360000000,R1,5,2045,R1,power,gasCCGT,retrofit,2050
A1,1.15110000000,R1,90,2025,R1,power,windturbine,retrofit,2050
A1,1.41780000000,R1,91,2030,R1,power,windturbine,retrofit,2050
A1,1.81350000000,R1,92,2035,R1,power,windturbine,retrofit,2050
A1,1.94810000000,R1,93,2040,R1,power,windturbine,retrofit,2050
A1,2.18240000000,R1,94,2045,R1,power,windturbine,retrofit,2050
A1,3.27480000000,R1,0,2020,R1,gas,gassupply1,retrofit,2050
A1,0.27920000000,R1,1,2025,R1,gas,gassupply1,retrofit,2050
A1,10.48740000000,R1,2,2030,R1,gas,gassupply1,retrofit,2050
A1,0.69800000000,R1,3,2040,R1,gas,gassupply1,retrofit,2050
A1,0.92770000000,R1,4,2045,R1,gas,gassupply1,retrofit,2050
