region,commodity,year,timeslice,prices
R2,electricity,2035,"('all-year', 'all-week', 'afternoon')",20.63890000000
R2,electricity,2035,"('all-year', 'all-week', 'early-peak')",20.63890000000
R2,electricity,2035,"('all-year', 'all-week', 'evening')",20.63890000000
R2,electricity,2035,"('all-year', 'all-week', 'late-peak')",20.63890000000
R2,electricity,2035,"('all-year', 'all-week', 'morning')",20.63890000000
R2,electricity,2035,"('all-year', 'all-week', 'night')",20.63890000000
R2,gas,2020,"('all-year', 'all-week', 'afternoon')",4.71680000000
R2,gas,2020,"('all-year', 'all-week', 'early-peak')",4.71680000000
R2,gas,2020,"('all-year', 'all-week', 'evening')",4.71680000000
R2,gas,2020,"('all-year', 'all-week', 'late-peak')",4.71680000000
R2,gas,2020,"('all-year', 'all-week', 'morning')",4.71680000000
R2,gas,2020,"('all-year', 'all-week', 'night')",4.71680000000
R2,gas,2025,"('all-year', 'all-week', 'afternoon')",5.12660000000
R2,gas,2025,"('all-year', 'all-week', 'early-peak')",5.12660000000
R2,gas,2025,"('all-year', 'all-week', 'evening')",5.12660000000
R2,gas,2025,"('all-year', 'all-week', 'late-peak')",5.12660000000
R2,gas,2025,"('all-year', 'all-week', 'morning')",5.12660000000
R2,gas,2025,"('all-year', 'all-week', 'night')",5.12660000000
R2,gas,2030,"('all-year', 'all-week', 'afternoon')",5.53640000000
R2,gas,2030,"('all-year', 'all-week', 'early-peak')",5.53640000000
R2,gas,2030,"('all-year', 'all-week', 'evening')",5.53640000000
R2,gas,2030,"('all-year', 'all-week', 'late-peak')",5.53640000000
R2,gas,2030,"('all-year', 'all-week', 'morning')",5.53640000000
R2,gas,2030,"('all-year', 'all-week', 'night')",5.53640000000
R2,gas,2035,"('all-year', 'all-week', 'afternoon')",5.94620000000
R2,gas,2035,"('all-year', 'all-week', 'early-peak')",5.94620000000
R2,gas,2035,"('all-year', 'all-week', 'evening')",5.94620000000
R2,gas,2035,"('all-year', 'all-week', 'late-peak')",5.94620000000
R2,gas,2035,"('all-year', 'all-week', 'morning')",5.94620000000
R2,gas,2035,"('all-year', 'all-week', 'night')",5.94620000000
R3,electricity,2020,"('all-year', 'all-week', 'afternoon')",19.50000000000
R3,electricity,2020,"('all-year', 'all-week', 'early-peak')",19.50000000000
R3,electricity,2020,"('all-year', 'all-week', 'evening')",19.50000000000
R3,electricity,2020,"('all-year', 'all-week', 'late-peak')",19.50000000000
R3,electricity,2020,"('all-year', 'all-week', 'morning')",19.50000000000
R3,electricity,2020,"('all-year', 'all-week', 'night')",19.50000000000
R3,electricity,2025,"('all-year', 'all-week', 'afternoon')",21.93520000000
R3,electricity,2025,"('all-year', 'all-week', 'early-peak')",21.93520000000
R3,electricity,2025,"('all-year', 'all-week', 'evening')",21.93520000000
R3,electricity,2025,"('all-year', 'all-week', 'late-peak')",21.93520000000
R3,electricity,2025,"('all-year', 'all-week', 'morning')",21.93520000000
R3,electricity,2025,"('all-year', 'all-week', 'night')",21.93520000000
R3,electricity,2030,"('all-year', 'all-week', 'afternoon')",26.50930000000
R3,electricity,2030,"('all-year', 'all-week', 'early-peak')",26.50930000000
R3,electricity,2030,"('all-year', 'all-week', 'evening')",26.50930000000
R3,electricity,2030,"('all-year', 'all-week', 'late-peak')",26.50930000000
R3,electricity,2030,"('all-year', 'all-week', 'morning')",26.50930000000
R3,electricity,2030,"('all-year', 'all-week', 'night')",26.50930000000
R3,electricity,2035,"('all-year', 'all-week', 'afternoon')",26.51850000000
R3,electricity,2035,"('all-year', 'all-week', 'early-peak')",26.51850000000
R3,electricity,2035,"('all-year', 'all-week', 'evening')",26.51850000000
R3,electricity,2035,"('all-year', 'all-week', 'late-peak')",26.51850000000
R3,electricity,2035,"('all-year', 'all-week', 'morning')",26.51850000000
R3,electricity,2035,"('all-year', 'all-week', 'night')",26.51850000000
R3,gas,2020,"('all-year', 'all-week', 'afternoon')",2.98530000000
R3,gas,2020,"('all-year', 'all-week', 'early-peak')",2.98530000000
R3,gas,2020,"('all-year', 'all-week', 'evening')",2.98530000000
R3,gas,2020,"('all-year', 'all-week', 'late-peak')",2.98530000000
R3,gas,2020,"('all-year', 'all-week', 'morning')",2.98530000000
R3,gas,2020,"('all-year', 'all-week', 'night')",2.98530000000
R3,gas,2025,"('all-year', 'all-week', 'afternoon')",3.24470000000
R3,gas,2025,"('all-year', 'all-week', 'early-peak')",3.24470000000
R3,gas,2025,"('all-year', 'all-week', 'evening')",3.24470000000
R3,gas,2025,"('all-year', 'all-week', 'late-peak')",3.24470000000
R3,gas,2025,"('all-year', 'all-week', 'morning')",3.24470000000
R3,gas,2025,"('all-year', 'all-week', 'night')",3.24470000000
R3,gas,2030,"('all-year', 'all-week', 'afternoon')",3.50400000000
R3,gas,2030,"('all-year', 'all-week', 'early-peak')",3.50400000000
R3,gas,2030,"('all-year', 'all-week', 'evening')",3.50400000000
R3,gas,2030,"('all-year', 'all-week', 'late-peak')",3.50400000000
R3,gas,2030,"('all-year', 'all-week', 'morning')",3.50400000000
R3,gas,2030,"('all-year', 'all-week', 'night')",3.50400000000
R3,gas,2035,"('all-year', 'all-week', 'afternoon')",3.76340000000
R3,gas,2035,"('all-year', 'all-week', 'early-peak')",3.76340000000
R3,gas,2035,"('all-year', 'all-week', 'evening')",3.76340000000
R3,gas,2035,"('all-year', 'all-week', 'late-peak')",3.76340000000
R3,gas,2035,"('all-year', 'all-week', 'morning')",3.76340000000
R3,gas,2035,"('all-year', 'all-week', 'night')",3.76340000000
